2010-03-28 14:31:57 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:32:48 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:33:11 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:34:25 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:48:28 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:50:20 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 109]
2010-03-28 14:50:35 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:52:33 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:52:45 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:52:52 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:52:57 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:53:07 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:53:09 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:53:25 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 109]
2010-03-28 14:53:42 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:55:31 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:55:46 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:56:41 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:56:47 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 109]
2010-03-28 14:56:56 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:56:58 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:57:41 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:57:51 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:57:52 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:58:11 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:58:53 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:59:08 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
2010-03-28 14:59:52 Notice: Notice (8): Undefined index:  cartao in [APP/controllers/membros_controller.php, line 109]
2010-03-28 15:02:51 Notice: Notice (8): Undefined variable: html in [APP/views/layouts/default.ctp, line 28]
